2024-07-05 11:24:26,100, 1, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.012318177159, Generator_Loss-train: 0.632655052705, Registration_Loss_val-val: 0.014283824786Generator_Loss_val-val: 0.634405994102
2024-07-05 11:31:39,483, 2, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.012122380172, Generator_Loss-train: 0.632392773032, Registration_Loss_val-val: 0.014299311908Generator_Loss_val-val: 0.634424424747
2024-07-05 11:38:51,147, 3, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.011942244545, Generator_Loss-train: 0.632206034660, Registration_Loss_val-val: 0.014401204062Generator_Loss_val-val: 0.634509586974
2024-07-05 11:46:05,805, 4, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.011790354422, Generator_Loss-train: 0.632047311691, Registration_Loss_val-val: 0.014506188787Generator_Loss_val-val: 0.634626276791
2024-07-05 11:53:17,438, 5, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.011646319116, Generator_Loss-train: 0.631901153326, Registration_Loss_val-val: 0.014342536145Generator_Loss_val-val: 0.634494046684
2024-07-05 12:00:33,041, 6, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.011536963231, Generator_Loss-train: 0.631793540671, Registration_Loss_val-val: 0.014340832610Generator_Loss_val-val: 0.634480733882
2024-07-05 12:07:42,485, 7, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.011431977442, Generator_Loss-train: 0.631678343129, Registration_Loss_val-val: 0.014291065194Generator_Loss_val-val: 0.634420599779
2024-07-05 12:14:53,471, 8, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.011329373075, Generator_Loss-train: 0.631575445763, Registration_Loss_val-val: 0.014239531824Generator_Loss_val-val: 0.634361209381
2024-07-05 12:22:05,770, 9, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.011234394190, Generator_Loss-train: 0.631476102815, Registration_Loss_val-val: 0.014225959930Generator_Loss_val-val: 0.634347788016
2024-07-05 12:29:22,520, 10, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.011163460796, Generator_Loss-train: 0.631394139691, Registration_Loss_val-val: 0.014185456780Generator_Loss_val-val: 0.634303210231
2024-07-05 12:36:27,429, 11, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.011080180180, Generator_Loss-train: 0.631306971080, Registration_Loss_val-val: 0.014134157746Generator_Loss_val-val: 0.634254146849
2024-07-05 12:43:29,783, 12, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.011006104024, Generator_Loss-train: 0.631233238384, Registration_Loss_val-val: 0.014106286869Generator_Loss_val-val: 0.634226875870
2024-07-05 12:50:47,569, 13, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.010940118083, Generator_Loss-train: 0.631162246103, Registration_Loss_val-val: 0.014082305857Generator_Loss_val-val: 0.634202085244
2024-07-05 12:58:19,372, 14, lr_G: 0.000000, lr_D: 0.000001, lr_E: 0.000000, Registration_Loss-train: 0.010878157419, Generator_Loss-train: 0.631096629624, Registration_Loss_val-val: 0.014049693279Generator_Loss_val-val: 0.634171686376
