2024-08-11 16:40:24,569, 1, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.620785869733, Discriminator_Loss-train: 0.180376833436, Generator_Loss_val-val: 0.603972792625
2024-08-11 16:42:10,676, 2, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.610911092373, Discriminator_Loss-train: 0.160963221782, Generator_Loss_val-val: 0.596989553422
2024-08-11 16:43:59,328, 3, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.604966030779, Discriminator_Loss-train: 0.150210018110, Generator_Loss_val-val: 0.591733721395
2024-08-11 16:45:49,512, 4, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.601077430176, Discriminator_Loss-train: 0.143525049655, Generator_Loss_val-val: 0.588151062373
2024-08-11 16:47:39,816, 5, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.598338858287, Discriminator_Loss-train: 0.138917068926, Generator_Loss_val-val: 0.585582483187
2024-08-11 16:49:27,777, 6, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.596262280889, Discriminator_Loss-train: 0.135504285494, Generator_Loss_val-val: 0.583822263715
2024-08-11 16:51:16,318, 7, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.594635210254, Discriminator_Loss-train: 0.132881773896, Generator_Loss_val-val: 0.582370728787
2024-08-11 16:53:11,668, 8, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.593318714864, Discriminator_Loss-train: 0.130774388381, Generator_Loss_val-val: 0.581247672206
2024-08-11 16:55:00,411, 9, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.592228044096, Discriminator_Loss-train: 0.129046392996, Generator_Loss_val-val: 0.580323167352
2024-08-11 16:56:46,401, 10, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.591298646939, Discriminator_Loss-train: 0.127586134598, Generator_Loss_val-val: 0.579519955069
2024-08-11 16:58:39,252, 11, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.590491207123, Discriminator_Loss-train: 0.126321112335, Generator_Loss_val-val: 0.578797805885
2024-08-11 17:00:29,399, 12, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.589771847883, Discriminator_Loss-train: 0.125215053276, Generator_Loss_val-val: 0.578255283802
2024-08-11 17:02:17,644, 13, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.589124654418, Discriminator_Loss-train: 0.124221009327, Generator_Loss_val-val: 0.577547714974
2024-08-11 17:04:02,190, 14, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.588534256812, Discriminator_Loss-train: 0.123319173702, Generator_Loss_val-val: 0.576980579911
2024-08-11 17:05:48,097, 15, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.588015005404, Discriminator_Loss-train: 0.122502137505, Generator_Loss_val-val: 0.577869936948
2024-08-11 17:07:36,340, 16, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.587579429827, Discriminator_Loss-train: 0.121737978511, Generator_Loss_val-val: 0.577780421474
2024-08-11 17:09:28,044, 17, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.587209912474, Discriminator_Loss-train: 0.121064199957, Generator_Loss_val-val: 0.577646835652
2024-08-11 17:11:10,365, 18, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.586896354703, Discriminator_Loss-train: 0.120440649331, Generator_Loss_val-val: 0.578496549796
2024-08-11 17:13:01,814, 19, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.586633009393, Discriminator_Loss-train: 0.119877235353, Generator_Loss_val-val: 0.579225657900
2024-08-11 17:14:51,558, 20, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.586392700251, Discriminator_Loss-train: 0.119347663148, Generator_Loss_val-val: 0.579629872832
2024-08-11 17:16:43,711, 21, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.586168790649, Discriminator_Loss-train: 0.118846949722, Generator_Loss_val-val: 0.579645037828
2024-08-11 17:18:30,503, 22, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.585961248154, Discriminator_Loss-train: 0.118383778367, Generator_Loss_val-val: 0.579512660561
2024-08-11 17:20:14,450, 23, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.585768543187, Discriminator_Loss-train: 0.117940269915, Generator_Loss_val-val: 0.579640460079
2024-08-11 17:22:04,541, 24, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.585604993181, Discriminator_Loss-train: 0.117525112110, Generator_Loss_val-val: 0.580482310926
2024-08-11 17:23:57,413, 25, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.585450047339, Discriminator_Loss-train: 0.117133033899, Generator_Loss_val-val: 0.580713076964
2024-08-11 17:25:46,013, 26, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.585304341371, Discriminator_Loss-train: 0.116748478145, Generator_Loss_val-val: 0.581525901046
2024-08-11 17:27:33,755, 27, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.585176961390, Discriminator_Loss-train: 0.116385698859, Generator_Loss_val-val: 0.583394226308
2024-08-11 17:29:23,540, 28, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.585058100016, Discriminator_Loss-train: 0.116039726410, Generator_Loss_val-val: 0.584910968518
2024-08-11 17:31:12,162, 29, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.584947808056, Discriminator_Loss-train: 0.115707156066, Generator_Loss_val-val: 0.586508958055
2024-08-11 17:32:59,884, 30, lr_G: 0.000010, lr_D: 0.000010, Generator_Loss-train: 0.584849090769, Discriminator_Loss-train: 0.115385937071, Generator_Loss_val-val: 0.587098890046
2024-08-11 17:34:46,411, 31, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.584758875540, Discriminator_Loss-train: 0.115076561259, Generator_Loss_val-val: 0.588394702082
2024-08-11 17:36:34,452, 32, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.584668770771, Discriminator_Loss-train: 0.114780520954, Generator_Loss_val-val: 0.588821614627
2024-08-11 17:38:23,887, 33, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.584584643453, Discriminator_Loss-train: 0.114502479596, Generator_Loss_val-val: 0.589369822181
2024-08-11 17:40:11,089, 34, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.584508314773, Discriminator_Loss-train: 0.114239459863, Generator_Loss_val-val: 0.589727208840
2024-08-11 17:41:57,231, 35, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.584435778211, Discriminator_Loss-train: 0.113985404469, Generator_Loss_val-val: 0.589624460361
2024-08-11 17:43:42,339, 36, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.584365961544, Discriminator_Loss-train: 0.113741203785, Generator_Loss_val-val: 0.589772745605
2024-08-11 17:45:29,262, 37, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.584305303509, Discriminator_Loss-train: 0.113506699366, Generator_Loss_val-val: 0.589703012308
2024-08-11 17:47:19,592, 38, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.584244179621, Discriminator_Loss-train: 0.113285427799, Generator_Loss_val-val: 0.589434407700
2024-08-11 17:49:03,825, 39, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.584185670784, Discriminator_Loss-train: 0.113070972989, Generator_Loss_val-val: 0.589439270493
2024-08-11 17:50:49,943, 40, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.584131462556, Discriminator_Loss-train: 0.112862991399, Generator_Loss_val-val: 0.589438710641
2024-08-11 17:52:38,819, 41, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.584082080023, Discriminator_Loss-train: 0.112665052246, Generator_Loss_val-val: 0.589262636560
2024-08-11 17:54:28,819, 42, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.584036482590, Discriminator_Loss-train: 0.112471675842, Generator_Loss_val-val: 0.589127114486
2024-08-11 17:56:15,433, 43, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.583992040589, Discriminator_Loss-train: 0.112285414731, Generator_Loss_val-val: 0.588880122271
2024-08-11 17:58:03,102, 44, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.583953096560, Discriminator_Loss-train: 0.112098754350, Generator_Loss_val-val: 0.588603444990
2024-08-11 17:59:56,993, 45, lr_G: 0.000005, lr_D: 0.000005, Generator_Loss-train: 0.583915943101, Discriminator_Loss-train: 0.111917444375, Generator_Loss_val-val: 0.588337829378
